title,link,date,word
"강남구, ‘반려견 순회 놀이터’ 무료 운영",https://www.siminilbo.co.kr/news/newsview.php?ncode=1160290225848633,2022.04.29.,"['강남구', '반려견', '순회', '놀이터', '무료', '운영']"
반려견 주인에게 화풀이 욕설한 60대 벌금형,http://www.kwnews.co.kr/page/view/2022091011271104003,2022.04.28.,"['반려견', '주인에게', '화풀이', '욕설한', '대', '벌금형']"
문화센터·놀이터에 대학동물병원까지…반려동물과 함께하는 부산 '눈길',https://hankookilbo.com/News/Read/A2022082410070000980?did=NA,2022.09.10.,"['문화센터', '놀이터에', '대학동물병원까지', '반려동물과', '함께하는', '부산', '눈길']"
"도봉구, 반려견놀이터에서 '반려견 문화교실' 연다",http://www.newspim.com/news/view/20220421000674,2022.08.24.,"['도봉구', '반려견놀이터에서', '반려견', '문화교실', '연다']"
"문경운 ""동물 복지 교육 강화하고 반려견 놀이터 조성""",http://www.jejuilbo.net/news/articleView.html?idxno=182686,2022.04.21.,"['문경운', '동물', '복지', '교육', '강화하고', '반려견', '놀이터', '조성']"
"문경운 ""반려견 공공놀이터 조성""",http://www.newsjeju.net/news/articleView.html?idxno=378278,2022.05.01.,"['문경운', '반려견', '공공놀이터', '조성']"
"이종환 서울시의원 ""노원 반려견 놀이터, 꿈의숲 공원에 참고""",http://www.smartfn.co.kr/view.php?ud=20220414121826554af74ce8f8_46,2022.04.14.,"['이종환', '서울시의원', '노원', '반려견', '놀이터', '꿈의숲', '공원에', '참고']"
"광진구, 건국대·서울관광재단과 '반려견 친화도시' MOU",https://www.jeonmae.co.kr/news/articleView.html?idxno=910335,2022.08.23.,"['광진구', '건국대', '서울관광재단과', '반려견', '친화도시', 'MOU']"
광주 수랑공원에 반려견 놀이터 조성,https://news.kbs.co.kr/news/view.do?ncd=5447889&ref=A,2022.04.25.,"['광주', '수랑공원에', '반려견', '놀이터', '조성']"
태백시 반려견 놀이터 5월 준공,http://www.newspim.com/news/view/20220404001012,2022.04.04.,"['태백시', '반려견', '놀이터', '월', '준공']"
"[＜BOOK IN BOOK＞ 한국관광공사 추천, 반려견 동반 여름 여행지] 웰컴 투 댕...",http://economychosun.com/client/news/view.php?boardName=C24&t_num=13613227,2022.08.01.,"['BOOK', 'IN', 'BOOK', '한국관광공사', '추천', '반려견', '동반', '여름', '여행지', '웰컴', '투', '댕']"
